simulation_id,final_value
601,2131.83
602,1872.0
603,2054.5
604,2054.5
605,1872.0
606,1872.0
607,1819.0
608,1774.65
609,2131.83
610,2266.42
611,1774.65
612,2131.83
613,1938.9375
614,1774.65
615,1872.0
616,1872.0
617,1774.65
618,2131.83
619,2054.5
620,2266.42
621,1872.0
622,2054.5
623,1872.0
624,1872.0
625,1774.65
626,2054.5
627,1872.0
628,1938.9375
629,1774.65
630,2054.5
631,2266.42
632,1872.0
633,1872.0
634,2266.42
635,2054.5
636,1872.0
637,2054.5
638,2054.5
639,1872.0
640,1774.65
641,2266.42
642,2131.83
643,1774.65
644,1680.0
645,1872.0
646,2054.5
647,1680.0
648,1872.0
649,1819.0
650,1872.0
651,1774.65
652,1774.65
653,1774.65
654,1938.9375
655,2054.5
656,2266.42
657,1819.0
658,2266.42
659,1872.0
660,1872.0
661,1774.65
662,2054.5
663,2131.83
664,2266.42
665,1774.65
666,2131.83
667,2054.5
668,2131.83
669,2266.42
670,1938.9375
671,2054.5
672,1938.9375
673,1938.9375
674,1680.0
675,2266.42
676,1872.0
677,1680.0
678,2131.83
679,1872.0
680,1774.65
681,1872.0
682,2131.83
683,2131.83
684,1988.0
685,1872.0
686,2054.5
687,2266.42
688,1872.0
689,1872.0
690,2266.42
691,1680.0
692,1774.65
693,2266.42
694,1774.65
695,1872.0
696,2266.42
697,2266.42
698,1774.65
699,1774.65
700,2266.42
701,2266.42
702,1872.0
703,2266.42
704,1680.0
705,1872.0
706,2266.42
707,1872.0
708,2054.5
709,2131.83
710,1988.0
711,1872.0
712,1680.0
713,2054.5
714,1774.65
715,2266.42
716,1938.9375
717,1774.65
718,1774.65
719,2266.42
720,1872.0
721,1872.0
722,1872.0
723,1774.65
724,1872.0
725,2266.42
726,2266.42
727,1872.0
728,1872.0
729,2266.42
730,2131.83
731,1872.0
732,1938.9375
733,2054.5
734,1774.65
735,1938.9375
736,1819.0
737,1872.0
738,1872.0
739,2131.83
740,1774.65
741,2054.5
742,1872.0
743,1872.0
744,1872.0
745,2266.42
746,1938.9375
747,1988.0
748,1680.0
749,1872.0
750,1872.0
751,1774.65
752,1872.0
753,2131.83
754,1872.0
755,2054.5
756,1872.0
757,1774.65
758,1872.0
759,1872.0
760,1872.0
761,2266.42
762,1938.9375
763,1872.0
764,2266.42
765,1872.0
766,1872.0
767,2266.42
768,1938.9375
769,1938.9375
770,1872.0
771,1938.9375
772,2266.42
773,1872.0
774,1774.65
775,1680.0
776,1774.65
777,2266.42
778,1872.0
779,1872.0
780,1872.0
781,1872.0
782,2054.5
783,1680.0
784,1872.0
785,2131.83
786,1680.0
787,1872.0
788,1872.0
789,1774.65
790,1872.0
791,1872.0
792,2266.42
793,2266.42
794,1872.0
795,1872.0
796,1774.65
797,1872.0
798,2266.42
799,1872.0
800,2266.42
801,1988.0
802,1774.65
803,1774.65
804,1872.0
805,2266.42
806,1774.65
807,1774.65
808,1872.0
809,1872.0
810,1872.0
811,1872.0
812,2131.83
813,2266.42
814,2054.5
815,1872.0
816,1872.0
817,1774.65
818,1988.0
819,1872.0
820,2054.5
821,2266.42
822,2266.42
823,1872.0
824,1872.0
825,2054.5
826,2054.5
827,1938.9375
828,2054.5
829,2266.42
